x0,x1,x2,t
-5.83153,-9.14498,17.3245,0.612
-5.86466,-9.19809,17.3315,0.613
-5.898,-9.25146,17.3392,0.614
-5.93153,-9.30508,17.3475,0.615
-5.96527,-9.35897,17.3564,0.616
-5.9992,-9.4131,17.3658,0.617
-6.03334,-9.46748,17.3759,0.618
-6.06768,-9.52211,17.3867,0.619
-6.10223,-9.57699,17.398,0.62
-6.13698,-9.63211,17.41,0.621
-6.17193,-9.68747,17.4226,0.622
-6.20708,-9.74306,17.4359,0.623
-6.24244,-9.79889,17.4498,0.624
-6.27801,-9.85495,17.4644,0.625
-6.31378,-9.91124,17.4797,0.626
-6.34975,-9.96775,17.4956,0.627
-6.38593,-10.0245,17.5121,0.628
-6.42232,-10.0814,17.5294,0.629
-6.45891,-10.1386,17.5473,0.63
-6.4957,-10.196,17.566,0.631
-6.53271,-10.2536,17.5853,0.632
-6.56992,-10.3113,17.6053,0.633
-6.60733,-10.3693,17.6261,0.634
-6.64495,-10.4275,17.6475,0.635
-6.68278,-10.4859,17.6697,0.636
-6.72081,-10.5444,17.6926,0.637
-6.75904,-10.6031,17.7162,0.638
-6.79748,-10.662,17.7406,0.639
-6.83613,-10.7211,17.7657,0.64
-6.87498,-10.7804,17.7915,0.641
-6.91403,-10.8398,17.8182,0.642
-6.95329,-10.8993,17.8455,0.643
-6.99275,-10.959,17.8737,0.644
-7.03241,-11.0189,17.9026,0.645
-7.07228,-11.0789,17.9323,0.646
-7.11234,-11.139,17.9627,0.647
-7.15261,-11.1992,17.994,0.648
-7.19308,-11.2596,18.0261,0.649
-7.23374,-11.3201,18.0589,0.65
-7.2746,-11.3807,18.0926,0.651
-7.31567,-11.4414,18.1271,0.652
-7.35692,-11.5022,18.1624,0.653
-7.39837,-11.563,18.1985,0.654
-7.44002,-11.624,18.2355,0.655
-7.48186,-11.685,18.2733,0.656
-7.52389,-11.7461,18.3119,0.657
-7.56611,-11.8072,18.3514,0.658
-7.60853,-11.8684,18.3917,0.659
-7.65112,-11.9297,18.4329,0.66
-7.69391,-11.9909,18.475,0.661
-7.73688,-12.0522,18.5179,0.662
-7.78003,-12.1135,18.5617,0.663
-7.82337,-12.1749,18.6064,0.664
-7.86688,-12.2362,18.652,0.665
-7.91058,-12.2975,18.6984,0.666
-7.95445,-12.3588,18.7458,0.667
-7.99849,-12.42,18.794,0.668
-8.04271,-12.4812,18.8432,0.669
-8.08709,-12.5424,18.8933,0.67
-8.13164,-12.6035,18.9442,0.671
-8.17636,-12.6645,18.9962,0.672
-8.22124,-12.7255,19.049,0.673
-8.26629,-12.7864,19.1027,0.674
-8.31149,-12.8471,19.1574,0.675
-8.35684,-12.9078,19.2131,0.676
-8.40235,-12.9683,19.2696,0.677
-8.44801,-13.0287,19.3271,0.678
-8.49382,-13.0889,19.3856,0.679
-8.53977,-13.149,19.445,0.68
-8.58586,-13.2089,19.5054,0.681
-8.63209,-13.2686,19.5667,0.682
-8.67846,-13.3282,19.629,0.683
-8.72495,-13.3875,19.6923,0.684
-8.77158,-13.4466,19.7565,0.685
-8.81833,-13.5054,19.8217,0.686
-8.8652,-13.564,19.8879,0.687
-8.91219,-13.6224,19.955,0.688
-8.95929,-13.6805,20.0231,0.689
-9.0065,-13.7383,20.0923,0.69
-9.05382,-13.7957,20.1623,0.691
-9.10124,-13.8529,20.2334,0.692
-9.14876,-13.9097,20.3055,0.693
-9.19637,-13.9662,20.3785,0.694
-9.24407,-14.0224,20.4525,0.695
-9.29185,-14.0781,20.5276,0.696
-9.33971,-14.1335,20.6036,0.697
-9.38765,-14.1884,20.6805,0.698
